#group,false,false,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,double,dateTime:RFC3339
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,domain,entity_id,friendly_name,source,_value,_time
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360391,2026-05-11T13:15:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360405,2026-05-11T13:16:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360419,2026-05-11T13:16:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360432,2026-05-11T13:16:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360446,2026-05-11T13:16:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360460,2026-05-11T13:16:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360474,2026-05-11T13:16:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360488,2026-05-11T13:17:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360503,2026-05-11T13:17:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360518,2026-05-11T13:17:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360532,2026-05-11T13:17:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360547,2026-05-11T13:17:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360562,2026-05-11T13:17:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360577,2026-05-11T13:18:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360592,2026-05-11T13:18:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360607,2026-05-11T13:18:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360623,2026-05-11T13:18:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360639,2026-05-11T13:18:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360655,2026-05-11T13:18:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360671,2026-05-11T13:19:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360687,2026-05-11T13:19:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360704,2026-05-11T13:19:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360721,2026-05-11T13:19:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360739,2026-05-11T13:19:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360756,2026-05-11T13:19:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360773,2026-05-11T13:20:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360791,2026-05-11T13:20:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360808,2026-05-11T13:20:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360825,2026-05-11T13:20:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360843,2026-05-11T13:20:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360860,2026-05-11T13:20:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360878,2026-05-11T13:21:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360896,2026-05-11T13:21:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360914,2026-05-11T13:21:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360932,2026-05-11T13:21:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360950,2026-05-11T13:21:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360969,2026-05-11T13:21:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12360988,2026-05-11T13:22:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361007,2026-05-11T13:22:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361026,2026-05-11T13:22:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361045,2026-05-11T13:22:30Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361064,2026-05-11T13:22:40Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361083,2026-05-11T13:22:50Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361102,2026-05-11T13:23:00Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361121,2026-05-11T13:23:10Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361140,2026-05-11T13:23:20Z
,,2,2026-05-11T13:11:30.525520248Z,2026-05-11T14:11:30.487Z,value,kWh,sensor,tr_erzeugte_wirkenergiek_kwh,Bauhof Einspeisung,HA,12361159,2026-05-11T13:23:30Z
